2026/02/02 22:36:46 [error] 7892#17508: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2026/02/04 12:44:08 [error] 23844#26284: *21 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180246792.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180246792.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:44:46 [error] 23844#26284: *22 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180246792.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180246792.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:04 [error] 23844#26284: *30 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:22 [error] 23844#26284: *33 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:22 [error] 23844#26284: *32 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:30 [error] 23844#26284: *35 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:32 [error] 23844#26284: *34 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:32 [error] 23844#26284: *31 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:45:36 [error] 23844#26284: *40 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "HEAD /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026"
2026/02/04 12:45:41 [error] 23844#26284: *37 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:46:53 [error] 23844#26284: *42 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:46:55 [error] 23844#26284: *45 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:46:55 [error] 23844#26284: *43 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:47:45 [error] 23844#26284: *48 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "HEAD /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026"
2026/02/04 12:50:02 [error] 23844#26284: *50 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:50:05 [error] 23844#26284: *51 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:50:07 [error] 23844#26284: *53 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:50:07 [error] 23844#26284: *52 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:51:48 [error] 23844#26284: *57 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180303959.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "HEAD /videos/1770180303959.mp4 HTTP/1.1", host: "localhost:8026"
2026/02/04 12:51:57 [error] 23844#26284: *61 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180303959.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180303959.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
